user_id,book_ids,keywords,in_one
01ec1a320ffded6b2dd47833f2c8e4fb,"{0: [12578077, 11735983, 15745950, 13496084, 256683], 1: [11505797, 16070903, 15858248, 17340050, 13644052], 2: [6148028, 7260188, 17314430, 16034964, 17200687, 15784909], 3: [13372690, 13047090, 13548456, 16113791, 17337562], 4: [2767052, 8306857, 10194514, 10818853]}","{0: ['scar', 'internet', 'echo', 'spends', 'mother', 'opened', 'face', 'single', 'remains', 'access', 'love', 'luck', 'interview', 'travis', 'second'], 1: ['cruel', 'divergent', 'intelligent', 'wardrobe', 'linked', 'intimate', 'doing', 'lean', 'hopeless', 'san', 'problem', 'exasperation', 'shatter', 'questioning', 'leaders'], 2: ['katniss', 'friends', 'starts', 'class', '13', 'intoxicating', 'don', 'rule', 'stuck', 'charmer', 'remarkable', 'new', 'simply', 'dauntless', 'bracelet'], 3: ['determine', 'destroying', 'linked', 've', 'beautiful', 'brother', 'clad', 'cam', 'shows', 'tributes', 'family', 'slammed', 'appearances', 'daemon', 'isn'], 4: ['deeply', 'untangle', 'cultivation', 'erotic', 'ability', 'neighborly', 'hand', 'tell', 'threatening', 'stab', 'sky', 'senior', 'thrilled', 'ana', 'echo']}","[12578077, 11735983, 15745950, 13496084, 256683, 11505797, 16070903, 15858248, 17340050, 13644052, 6148028, 7260188, 17314430, 16034964, 17200687, 15784909, 13372690, 13047090, 13548456, 16113791, 17337562, 2767052, 8306857, 10194514, 10818853]"
0ef32090550901ead25cb0ea21c4d36b,"{0: [6644117, 8525590, 10025305], 1: [7735333, 6068551, 7686667, 9593911, 10429045, 6186357], 2: [6148028, 7260188, 8306857, 11870085, 256683, 11235712, 7171637, 3236307, 12578077, 6304335], 3: [2767052, 11735983, 8490112], 4: [1582996, 9275658, 8685612]}","{0: ['said', 'home', 'end', 'southern', 'simon', 'ready', 'horrors', 'looming', 'nears', 'science', 'knowing', 'accents', 'thomas', 'magister', 'famous'], 1: ['heart', 'days', 'drink', 'limitless', 'way', 'run', 'portland', 'earth', 'wilds', 'hot', 'leads', 'servants', 'prime', 'towering', 'girl'], 2: ['club', 'stepsister', 'human', 'katniss', 'daemon', 'connection', '13', 'surprises', 'fills', 'cinder', 'eccentric', 'derailed', 'love', 'secret', 'ferociously'], 3: ['district', 'diseases', 'grief', 'limitless', 'prim', 'survival', 'violent', 'completely', 'born', 'chapter', 'try', 'slit', 'anticipated', 'stolen', 'abilities'], 4: ['determined', 'vegas', 'timesbestseller', 'stand', 'death', '264', 'marks', 'forced', 'slaying', 'extreme', 'seemingly', 'thank', 'banished', 'republic', 'touch']}","[6644117, 8525590, 10025305, 7735333, 6068551, 7686667, 9593911, 10429045, 6186357, 6148028, 7260188, 8306857, 11870085, 256683, 11235712, 7171637, 3236307, 12578077, 6304335, 2767052, 11735983, 8490112, 1582996, 9275658, 8685612]"
4672eb229c808b792b8ea95f01f19784,"{0: [24920901, 27362503, 13372690, 18143950, 13496084, 15745950, 10818853], 1: [15760001, 17617277, 18593175, 25564665], 2: [15858248, 20639274, 16070903, 17029526], 3: [11505797, 17340050, 27252717, 2767052], 4: [15717943, 17788401, 17314430, 15784909, 17983690, 16102004]}","{0: ['scar', 'invoke', 'emails', 'soul', 'forced', 'original', 'layken', 'sister', 'reminder', 'sydney', 'accessed', 'memory', 'involved', 'abby', 'kong'], 1: ['distraction', 'consumed', 'intimidating', 'don', 'sexy', 'losing', 'primed', 'leads', 'pushes', 'inwardly', 'wealthy', 'sarcastic', 'fighting', 'layken', 'loves'], 2: ['guilt', 'startled', 'irrevocably', 'changes', 'draw', 'age', 'sins', 'carefully', 'good', '13th', 'crisis', 'intimate', 'world', 'moving', 'women'], 3: ['desperately', 'despair', 'losing', 'challenged', 'wants', 'pursuit', 'bed', 'brunette', 'transformative', 'subject', 'states', 'broken', 'ablaze', 'seen', 've'], 4: ['date', 'ability', 'unworldly', 'tate', 'hoover', 'nights', 'family', 'control', 'son', 'thinks', 'spinning', 'point', 'thoughts', 'sleepy', 'team']}","[24920901, 27362503, 13372690, 18143950, 13496084, 15745950, 10818853, 15760001, 17617277, 18593175, 25564665, 15858248, 20639274, 16070903, 17029526, 11505797, 17340050, 27252717, 2767052, 15717943, 17788401, 17314430, 15784909, 17983690, 16102004]"
4a44f603cc3df339acc48590044a2db0,"{0: [22910368, 25573737, 27152124, 25775928], 1: [28800089, 27296292, 24151121, 21794306], 2: [25234004, 29405105, 26199231, 28020254, 18809943, 30094879], 3: [22152589, 23121837, 23834721, 25711641, 28597587, 25671827], 4: [30306841, 25756072, 19211799, 25341651, 29636247]}","{0: ['room', 'fair', 'keeps', 'sister', 'shatters', 'darkness', 'quarterback', 'mapped', 'hawke', 'mattered', 'team', 'mistress', 'kept', 'letting', 'rushand'], 1: ['encounter', 'darkness', 'kadence', 'loved', 'enjoys', 'kick', 'website', 'lips', 'road', 'lisa', 'picture', 'seduction', 'prayed', 'alex', 'friends'], 2: ['soulless', 'hearts', 'cinderella', 'killer', 'just', 'collide', 'enters', 'deliciously', 'brought', 'stranger', '1seiohc', 'alphas', 'stilettos', 'question', 'june'], 3: ['dream', 'drama', 'olivia', 'wants', 'treatment', 'career', 'cocky', 'stronger', 'kadence', 'loved', 'shots', 'sawyer', 'blinded', 'late', 'gets'], 4: ['dick', 'unsettled', 'day', 'thia', 'meet', 'act', 'leather', 'imaginable', 'shop', 'izzy', 'tattoo', 'thinks', 'murder', 'smoke', 'football']}","[22910368, 25573737, 27152124, 25775928, 28800089, 27296292, 24151121, 21794306, 25234004, 29405105, 26199231, 28020254, 18809943, 30094879, 22152589, 23121837, 23834721, 25711641, 28597587, 25671827, 30306841, 25756072, 19211799, 25341651, 29636247]"
5cca1dd30cd5a98c1c8e731839265ccf,"{0: [13206828, 18798983, 17347389, 17378508, 16069030], 1: [13206900, 23437156, 22489107, 14061955, 14061957, 17378527, 17788401], 2: [23395680, 17927395, 18006496, 18692431, 20560137, 7896527], 3: [16096824, 20613470, 10194157, 17675462, 9627755], 4: [8755785, 22055262]}","{0: ['ronan', 'key', 'signed', 'khalid', 'ezra', 'levana', 'mothers', 'set', 'ranks', 'taken', 'maresh', 'afoot', 'york', 'gathering', 'visions'], 1: ['love', 'darkness', 'embraced', 'lunar', 'kai', 'war', 'rivalries', 'encompassed', 'pilot', 'khorasan', 'lives', 'living', 'thing', 'sebastian', 'prepared'], 2: ['house', 'feyre', 'spellbinding', 'killed', 'kady', 'common', 'brother', 'stopping', 'end', '2575', 'help', 'laia', 'rare', 'clairvoyant', 'deer'], 3: ['door', 'love', 'doesn', 'isla', 'beloved', 'collins', 'adam', 'caverns', 'tow', 'grisha', 'sees', 'storytelling', 'spins', 'predict', 'good'], 4: ['despises', 'unfamiliar', 'shadowhunters', 'actually', 'midnight', 'terrible', 'smallest', 'ims', 'day', 'flesh', 'say', 'sworeshe', 'bard', 'test', 'needs']}","[13206828, 18798983, 17347389, 17378508, 16069030, 13206900, 23437156, 22489107, 14061955, 14061957, 17378527, 17788401, 23395680, 17927395, 18006496, 18692431, 20560137, 7896527, 16096824, 20613470, 10194157, 17675462, 9627755, 8755785, 22055262]"
5f550cc8d90df1759eda1496621187d8,"{0: [11235712, 13206760, 16096824, 23437156, 17347389, 20613470, 8490112], 1: [15745753, 16143347, 19547856], 2: [11870085, 23395680, 13206900, 16068905, 18692431, 18798983, 16101128, 20820994, 20560137], 3: [14061955, 13138635], 4: [13206828, 10194157, 17378508, 22055262]}","{0: ['rewritten', 'faerie', 'kell', 'slips', 'magical', 'seventeen', 'purse', 'actuallygrows', 'miss', 'key', 'cinder', 'robots', 'whereabouts', 'dreams', 'left'], 1: ['day', 'elite', 'kady', 'school', 'looking', 'way', 'political', 'emperor', 'khalid', 'retrieve', 'like', 'past', 'light', 'gansey', 'beautiful'], 2: ['kid', 'spend', 'story', 'enchant', 'khalid', 'company', 'hunt', 'clear', '2575', 'boy', 'help', 'afternoon', 'just', 'stone', 'deserted'], 3: ['dragged', 'dossier', 'comes', 'plummets', 'laroux', 'looking', 'mal', 'blood', 'certainly', 'torn', 'war', 'strength', 'spirit', 'acclaimed', 'ruled'], 4: ['diagnosis', 'unlucky', 'taken', 'accident', 'matter', 'time', 'ims', 'dearest', 'kell', 'runs', 'terrain', 'society', 'forced', 'shot', 'grisha']}","[11235712, 13206760, 16096824, 23437156, 17347389, 20613470, 8490112, 15745753, 16143347, 19547856, 11870085, 23395680, 13206900, 16068905, 18692431, 18798983, 16101128, 20820994, 20560137, 14061955, 13138635, 13206828, 10194157, 17378508, 22055262]"
d1e368a7d2870eb6fbf6e0d350568a2d,"{0: [8442457, 18007564, 9361589, 20170404, 21853621, 18774964, 8664353, 43641], 1: [4667024, 16181775, 19486412], 2: [6148028, 11870085, 22557272, 18143977, 7937843, 13158800, 11735983, 17333223], 3: [2767052, 19063, 15783514, 2728527, 18293427], 4: [6493208]}","{0: ['stakes', 'person', 'make', 'amy', 'swept', 'summer', 'remains', 'shore', 'actor', 'possible', 'nearly', 'radios', 'philosopher', 'wife', 'rate'], 1: ['little', 'grown', 'lieutenant', 'people', 'project', 'prophet', 'spontaneous', 'phrenologists', 'wins', 'story', 'press', 'saw', 'season', 'presents', 'native'], 2: ['tom', 'choice', 'tents', 'occupy', 'peeta', 'pig', 'living', 'home', 'art', 'face', 'doing', '1918', 'katniss', 'miraculously', 'ma'], 3: ['katniss', 'juliet', 'books', 'alice', 'decades', 'come', 'prophet', 'terrifying', 'stories', 'endless', 'unforgettable', 'poems', 'unmarked', 'participate', 'rare'], 4: ['immortal', 'ward', 'aibileen', 'realization', 'happened', 'open', 'lacks', 'unable', 'tall', 'mysteriously', 'surprising', 'stedman', 'troupe', 'unbelievably', 'reservations']}","[8442457, 18007564, 9361589, 20170404, 21853621, 18774964, 8664353, 43641, 4667024, 16181775, 19486412, 6148028, 11870085, 22557272, 18143977, 7937843, 13158800, 11735983, 17333223, 2767052, 19063, 15783514, 2728527, 18293427, 6493208]"
7bda28c106b6c03cf3f5cbe6e437442e,"{0: [42899, 42900, 9637479, 2168860, 10357792], 1: [1421990, 35729, 10993282, 38619, 12119529, 17562900], 2: [11544421, 8559047], 3: [6479550, 3819326, 4345498, 20705702, 10818853, 13570854, 304027, 15781026], 4: [2767052, 6148028, 7260188, 7046495]}","{0: ['rid', 'feared', 'ilona', 'soul', 'murdered', 'shocked', 'quickly', 'thief', 'll', 'impossible', 'john', 'adrenaline', 'sends', 'given', 'romance'], 1: ['despair', 'explores', 'husband', 'fade', 'killer', 'wake', 'tohr', 'impulses', 'learned', 'power', 'reveal', 'gathering', 'bones', 'pipe', 'sensuality'], 2: ['half', 'incident', 'steal', 'fail', 'complete', 'agent', 'guarded', 'clan', 'medicine', '13', 'discovers', 'taught', 'crawfield', 'suicide', 'quiet'], 3: ['enemies', 'encounters', 'comes', 'learned', 'volatile', 'rogan', 'steel', 'case', 'dark', 'black', 'catches', 'trapped', 'unworldly', 'arose', 'kate'], 4: ['katniss', 'drafted', 'destiny', 'unravel', 'means', 'action', 'heartbreak', 'sister', 'thrilled', 'spree', 'friends', 'scene', 'territories', 'madness', 'peeta']}","[42899, 42900, 9637479, 2168860, 10357792, 1421990, 35729, 10993282, 38619, 12119529, 17562900, 11544421, 8559047, 6479550, 3819326, 4345498, 20705702, 10818853, 13570854, 304027, 15781026, 2767052, 6148028, 7260188, 7046495]"
8925c45517c467b47b99b0d2bd24d3d5,"{0: [22544764, 16052012, 9969571, 17131869, 22055262, 20912424, 28110852], 1: [15704307, 11387515, 23437156, 20898019, 15745753], 2: [20701984, 32075671, 8621462, 15783514, 22504701, 17262290], 3: [18007564, 19351043, 10128428], 4: [11594337, 17346698, 17349203, 23395680]}","{0: ['kell', 'share', 'driven', 'squirrel', 'stevenson', 'parents', 'rival', 'time', 'accident', 'nicole', 'key', 'shining', 'extraordinary', 'magical', 'pay'], 1: ['kamala', 'conor', 'discovery', 'mysterious', 'minute', 'dogged', 'military', 'khalil', 'welcoming', 'seven', 'purse', 'smile', 'real', 'promises', 'storm'], 2: ['kids', 'student', 'friends', 'cancer', 'changes', 'domain', 'khalil', 'way', 'astrid', 'takes', 'author', 'elegiac', '128', 'crossed', 'spun'], 3: ['defiant', 'deep', 'rose', 'mysterious', 'noelle', 'ready', 'silent', 'walk', 'certain', 'baby', 'lives', 'breakfast', 'unarmed', 'talking', 'studying'], 4: ['darkly', 'odd', 'ivan', 'virtual', 'corner', 'happened', 'travel', 'aaron', 'thinks', 'noise', 'strange', 'encounters', 'stars', 'throat', 'sinister']}","[22544764, 16052012, 9969571, 17131869, 22055262, 20912424, 28110852, 15704307, 11387515, 23437156, 20898019, 15745753, 20701984, 32075671, 8621462, 15783514, 22504701, 17262290, 18007564, 19351043, 10128428, 11594337, 17346698, 17349203, 23395680]"
6c45e8df9297718b84cffd2c455191bc,"{0: [9969571, 15783514, 23395680, 13206828, 9361589, 22544764, 19547856, 10194157], 1: [23437156, 22055262, 16096824, 18692431, 17347389], 2: [20170404, 11870085, 18143977], 3: [15704307, 16068905, 17131869], 4: [18007564, 13206900, 11235712, 13206760, 32075671, 15507958]}","{0: ['seven', 'life', 'eat', 'stirring', 'road', 'cress', 'standing', 'open', 'feast', 'light', 'monsters', 'torn', 'plans', 'pond', 'adam'], 1: ['court', 'left', 'doing', 'wildest', 'rare', 'observation', 'dragon', 'serves', 'smuggler', 'like', 'near', 'far', 'relationships', 'nurse', 'navigate'], 2: ['suburban', 'chapter', 'lived', 'claim', 'gansey', 'drawing', 'werner', 'french', 'roaming', 'know', '2044', 'tall', 'damaged', 'afoot', 'takes'], 3: ['des', 'depending', 'fiction', 'sides', 'succeeds', 'observation', 'cirque', 'based', 'love', 'called', 'unarmed', 'snow', 'wants', 'tell', 'actor'], 4: ['dead', 'walk', 'stepmother', 'parts', 'acrobats', 'group', 'coveted', 'treat', 'travels', 'strange', 'ezra', 'stars', 'job', 'signed', 'timesbestseller']}","[9969571, 15783514, 23395680, 13206828, 9361589, 22544764, 19547856, 10194157, 23437156, 22055262, 16096824, 18692431, 17347389, 20170404, 11870085, 18143977, 15704307, 16068905, 17131869, 18007564, 13206900, 11235712, 13206760, 32075671, 15507958]"
