address,address_gu,address_dong,lat_long,lat,long
서울특별시 금천구 시흥동 시흥성지,금천구,시흥동,"[37.4541515451134, 126.908853793235]",37.4541515451134,126.908853793235
서울특별시 강남구 도곡동 도곡1차아이파크,강남구,도곡동,"[37.4922748332904, 127.043511837517]",37.4922748332904,127.043511837517
서울특별시 양천구 신정동 신정대성유니드아파트2차,양천구,신정동,"[37.5210153975411, 126.848911008994]",37.5210153975411,126.848911008994
서울특별시 노원구 중계동 중계라이프신동아청구아파트,노원구,중계동,"[37.6519317309728, 127.079543228581]",37.6519317309728,127.079543228581
서울특별시 노원구 하계동 하계2차현대아파트,노원구,하계동,"[37.6446075819338, 127.072058758551]",37.6446075819338,127.072058758551
서울특별시 서초구 서초동 롯데캐슬클래식,서초구,서초동,"[37.5000127993534, 127.021440891029]",37.5000127993534,127.021440891029
서울특별시 강서구 마곡동 마곡신안,강서구,마곡동,"[37.5687748573081, 126.823373808305]",37.5687748573081,126.823373808305
서울특별시 영등포구 당산동 래미안당산1차아파트,영등포구,당산동,"[37.5342052375202, 126.905712391423]",37.5342052375202,126.905712391423
서울특별시 광진구 자양동 자양현대6차,광진구,자양동,"[37.5328457586157, 127.071658855725]",37.5328457586157,127.071658855725
서울특별시 금천구 시흥동 관악벽산2단지,금천구,시흥동,"[37.451951295722, 126.919034001866]",37.451951295722,126.919034001866
서울특별시 금천구 시흥동 시흥월드메르디앙,금천구,시흥동,"[37.4597029538162, 126.907119183387]",37.4597029538162,126.907119183387
서울특별시 송파구 풍납동 현대리버빌2차아파트,송파구,풍납동,"[37.5321396358538, 127.116830825559]",37.5321396358538,127.116830825559
서울특별시 서초구 방배동 방배3차e편한세상,서초구,방배동,"[37.4942905588855, 126.991987305661]",37.4942905588855,126.991987305661
서울특별시 도봉구 방학동 방학삼익세라믹,도봉구,방학동,"[37.6611236514876, 127.034044277256]",37.6611236514876,127.034044277256
서울특별시 동작구 사당동 사당 대림아파트,동작구,사당동,"[37.4862311600572, 126.973195217153]",37.4862311600572,126.973195217153
서울특별시 강서구 가양동 가양대림경동,강서구,가양동,"[37.5663473856091, 126.854030753209]",37.5663473856091,126.854030753209
서울특별시 관악구 봉천동 봉천은천1단지,관악구,봉천동,"[37.4713903407759, 126.964853955359]",37.4713903407759,126.964853955359
서울특별시 동작구 사당동 사당우성2단지,동작구,사당동,"[37.4896946254326, 126.975650061703]",37.4896946254326,126.975650061703
서울특별시 마포구 신수동 마포신촌삼익아파트,마포구,신수동,"[37.5512705046389, 126.935580343312]",37.5512705046389,126.935580343312
서울특별시 강북구 미아동 벽산라이브파크,강북구,미아동,"[37.6211496720682, 127.010827075164]",37.6211496720682,127.010827075164
서울특별시 서초구 서초동 서초현대아파트,서초구,서초동,"[37.4909886298679, 127.020165979795]",37.4909886298679,127.020165979795
서울특별시 도봉구 방학동 방학신동아3단지,도봉구,방학동,"[37.6603784146842, 127.023012949031]",37.6603784146842,127.023012949031
서울특별시 강서구 등촌동 등촌우성101동,강서구,등촌동,"[37.5573440841998, 126.860354604998]",37.5573440841998,126.860354604998
서울특별시 강남구 삼성동 삼성동중앙하이츠빌리지,강남구,삼성동,"[37.5159924090308, 127.046227665295]",37.5159924090308,127.046227665295
서울특별시 송파구 마천동 마천금호,송파구,마천동,"[37.4947059157385, 127.153312757848]",37.4947059157385,127.153312757848
서울특별시 노원구 상계동 상계보람,노원구,상계동,"[37.6661826658174, 127.064948745871]",37.6661826658174,127.064948745871
서울특별시 성북구 안암동3가 안암삼익,성북구,안암동3가,"[37.5818825555184, 127.024886334822]",37.5818825555184,127.024886334822
서울특별시 관악구 신림동 임광관악파크,관악구,신림동,"[37.4697051500318, 126.919101109642]",37.4697051500318,126.919101109642
서울특별시 강남구 청담동 청담대림,강남구,청담동,"[37.5205048036403, 127.047836421504]",37.5205048036403,127.047836421504
서울특별시 노원구 상계동 상계양우아파트,노원구,상계동,"[37.6566248477263, 127.07094231653]",37.6566248477263,127.07094231653
서울특별시 양천구 신월동 신월삼정그린뷰,양천구,신월동,"[37.5228033270409, 126.838546157349]",37.5228033270409,126.838546157349
서울특별시 서대문구 홍제동 홍제유원하나제2,서대문구,홍제동,"[37.5951296272667, 126.952165445079]",37.5951296272667,126.952165445079
서울특별시 금천구 독산동 독산동중앙하이츠빌아파트,금천구,독산동,"[37.4648129442296, 126.888559946819]",37.4648129442296,126.888559946819
서울특별시 영등포구 양평동1가 양평신동아아파트,영등포구,양평동1가,"[37.522150635404, 126.886539979727]",37.522150635404,126.886539979727
서울특별시 용산구 보광동 신동아아파트,용산구,보광동,"[37.5258603048593, 127.001851124058]",37.5258603048593,127.001851124058
서울특별시 강서구 화곡동 화곡초록,강서구,화곡동,"[37.545684414842, 126.833623087174]",37.545684414842,126.833623087174
서울특별시 강동구 천호동 대우한강베네시티,강동구,천호동,"[37.5406106651217, 127.12492222154]",37.5406106651217,127.12492222154
서울특별시 영등포구 문래동5가 문래진주,영등포구,문래동5가,"[37.5171739609813, 126.884785741455]",37.5171739609813,126.884785741455
서울특별시 송파구 가락동 가락극동,송파구,가락동,"[37.4956974031715, 127.132676564288]",37.4956974031715,127.132676564288
서울특별시 성북구 돈암동 돈암삼성임대,성북구,돈암동,"[37.599182593603, 127.024476053709]",37.599182593603,127.024476053709
서울특별시 양천구 신정동 신트리1단지,양천구,신정동,"[37.5137367146629, 126.853687850909]",37.5137367146629,126.853687850909
서울특별시 노원구 공릉동 공릉동부,노원구,공릉동,"[37.6280770755128, 127.078617310086]",37.6280770755128,127.078617310086
서울특별시 서대문구 홍제동 홍제원 현대,서대문구,홍제동,"[37.5876593304485, 126.949588082808]",37.5876593304485,126.949588082808
서울특별시 송파구 가락동 가락현대5차,송파구,가락동,"[37.5000412408309, 127.130248978129]",37.5000412408309,127.130248978129
서울특별시 노원구 공릉동 공릉신원,노원구,공릉동,"[37.6277590706451, 127.075092631276]",37.6277590706451,127.075092631276
서울특별시 강남구 삼성동 삼성래미안2차,강남구,삼성동,"[37.5161516847431, 127.043436336716]",37.5161516847431,127.043436336716
서울특별시 동작구 대방동 대방2차현대,동작구,대방동,"[37.5107716956651, 126.931307528779]",37.5107716956651,126.931307528779
서울특별시 노원구 월계동 월계동현대,노원구,월계동,"[37.6185519738013, 127.062581879712]",37.6185519738013,127.062581879712
서울특별시 송파구 오금동 가락우창,송파구,오금동,"[37.4992573178827, 127.136905244926]",37.4992573178827,127.136905244926
서울특별시 강북구 미아동 송천센트레빌,강북구,미아동,"[37.6127523875236, 127.025814365129]",37.6127523875236,127.025814365129
서울특별시 관악구 봉천동 관악푸르지오제2단지,관악구,봉천동,"[37.489619199754, 126.960314655832]",37.489619199754,126.960314655832
서울특별시 노원구 월계동 월계2차한일,노원구,월계동,"[37.6212224455872, 127.062004500362]",37.6212224455872,127.062004500362
서울특별시 강동구 명일동 명일삼익그린2차,강동구,명일동,"[37.5532947928121, 127.148458988794]",37.5532947928121,127.148458988794
서울특별시 노원구 공릉동 공릉대아2차,노원구,공릉동,"[37.6233359689655, 127.07142868169]",37.6233359689655,127.07142868169
